director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,tmdb_ratings,movie_site
Adam Robitel,Lin Shaye,Angus Sampson,Leigh Whannell,Horror Mystery Thriller,insidious: the last key,6.2,https://www.imdb.com/title/tt5726086/
Lauren Wolkstein,Alex Pettyfer,James Freedson-Jackson,Emily Althaus,Thriller Drama,the strange ones,5.5,https://www.imdb.com/title/tt6014904/
Simon West,Dominic Cooper,Austin Stowell,Gemma Chan,Action Thriller,stratton,4.9,https://www.imdb.com/title/tt3567666/
Warwick Thornton,Bryan Brown,Sam Neill,unknown,Drama History Western,sweet country,6.7,https://www.imdb.com/title/tt6958212/
Jaume Collet-Serra,Liam Neeson,Vera Farmiga,Patrick Wilson,Action Thriller,the commuter,6.3,https://www.imdb.com/title/tt1590193/
Babak Najafi,Taraji P. Henson,Billy Brown,Danny Glover,Thriller Action Crime,proud mary,5.5,https://www.imdb.com/title/tt6421110/
Brett Donowho,Bruce Willis,Cole Hauser,Shawn Ashmore,Action,acts of violence,5.8,https://www.imdb.com/title/tt6684714/
Trudie Styler,Alex Lawther,Abigail Breslin,Bette Midler,Comedy Drama,freak show,7.2,https://www.imdb.com/title/tt0109838/
Sam Hoffman,Jemaine Clement,Elliott Gould,Ingrid Michaelson,Comedy,humor me,6.5,https://www.imdb.com/title/tt5658242/
Daniela Thomas,Adriano Carvalho,Luana Nastas,unknown,Drama,vazante,7.9,https://www.imdb.com/title/tt4673790/
Hiromasa Yonebayashi,Ruby Barnhill,Louis Ashbourne Serkis,Kate Winslet,Fantasy Adventure Animation,mary and the witch's flower,7.1,https://www.imdb.com/title/tt7897892/
Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,Michael Peýýýýýýýýa,Drama Action History War,12 strong,6,https://www.imdb.com/title/tt1413492/
Christian Gudegast,Gerard Butler,50 Cent,Pablo Schreiber,Action Thriller Crime,den of thieves,6.7,https://www.imdb.com/title/tt1259528/
Bethany Ashton Wolf,Alex Roe,Jessica Rothe,John Benjamin Hickey,Romance Drama Music,forever my girl,7.6,https://www.imdb.com/title/tt4103724/
Wes Ball,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Action Science Fiction,maze runner: the death cure,7.1,https://www.imdb.com/title/tt4500922/
Ziad Doueiri,Adel Karam,Camille Salameh,Kamel El Basha,Comedy Crime,the insult,6.5,https://www.imdb.com/title/tt7048622/
Ben Lewin,Dakota Fanning,Toni Collette,Alice Eve,Comedy Drama,please stand by,6.8,https://www.imdb.com/title/tt0056777/
The Spierig Brothers,Helen Mirren,Jason Clarke,Sarah Snook,Fantasy Mystery Thriller Horror,winchester,5.9,https://www.imdb.com/title/tt1072748/
Sebastiýýýýýýýýn Lelio,Daniela Vega,Francisco Reyes,unknown,Drama,a fantastic woman,7.1,https://www.imdb.com/title/tt5639354/
Mario Van Peebles,Mario Van Peebles,William Fichtner,Ryan Guzman,Action Horror Thriller,armed,4.6,https://www.imdb.com/title/tt4824316/
Julius Onah,Daniel Brýýýýýýýýhl,Elizabeth Debicki,Aksel Hennie,Mystery Thriller Horror Science Fiction,the cloverfield paradox,5.6,https://www.imdb.com/title/tt2548396/
Will Gluck,James Corden,Domhnall Gleeson,Rose Byrne,Animation Adventure Family,peter rabbit,6.7,https://www.imdb.com/title/tt5117670/
James Foley,Dakota Johnson,Jamie Dornan,Kim Basinger,Drama Romance,fifty shades freed,6.6,https://www.imdb.com/title/tt4477536/
Clint Eastwood,Anthony Sadler,Alek Skarlatos,Spencer Stone,Drama History Thriller,the 15:17 to paris,5.4,https://www.imdb.com/title/tt6802308/
Marco Polo Constandse,Marco Polo Constandse Omar Chaparro,Marimar Vega,Ryan Carnes,Comedy,la boda de valentina,5.9,https://www.imdb.com/title/tt4823538/
Surendra Poudel,Anmol K.C.,Aditi Budhathoki,Anoop Bikram Shahi,,kri,,https://www.imdb.com/title/tt7528086/
Brian Crano,Rebecca Hall,Dan Stevens,Morgan Spector,Comedy Romance Drama,permission,5.1,https://www.imdb.com/title/tt5390066/
Holger Tappe,Emily Watson,Jason Isaacs,Nick Frost,,monster family,,https://www.imdb.com/title/tt6572702/
Alex Ross Perry,Emily Browning,Adam Horowitz,Mary-Louise Parker,Drama,golden exits,6.1,https://www.imdb.com/title/tt5687814/
Ryan Coogler,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Action Adventure Fantasy Science Fiction,black panther,7.4,https://www.imdb.com/title/tt1825683/
Nick Park,Eddie Redmayne,Tom Hiddleston,Maisie Williams,Family Comedy Animation Adventure,early man,6.1,https://www.imdb.com/title/tt4701724/
Andrey Zvyagintsev,Maryana Spivak,Alexei Rozin,Matvey Novikov,Drama,loveless,6.5,https://www.imdb.com/title/tt6304162/
Sally Potter,Timothy Spall,Kristin Scott Thomas,Patricia Clarkson,Comedy,the party,6.2,https://www.imdb.com/title/tt0127723/
Mark Pellington,Jon Hamm,Nick Offerman,Amber Tamblyn,Drama,nostalgia,5.6,https://www.imdb.com/title/tt0086022/
Lance Daly,Hugo Weaving,Jim Broadbent,Stephen Rea,Drama Western,black '47,6.6,https://www.imdb.com/title/tt3208026/
Bruce Macdonald,Taylor James,Jackson Rathbone,Billy Zane,Action Drama Adventure,samson,5.7,https://www.imdb.com/title/tt6951892/
